uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did,text_clean
at://did:plc:7f64qdulrszhatrte3vypkzy/app.bsky.feed.post/3mclyhhtsek2f,bafyreiaw4v3fh7lm3a6jcrg6dfyae5vzs2b7df5mhkdkgx3lit2s3szp5a,anapaula no bbb sempre vira crossover com to catch a predator e eu acho isso lindo,2026-01-17 06:31:15.955000+00:00,1,0,9,2026-01-17T06:31:15.830Z,queermonster.bsky.social,"Beatrice Dorian, The Very Penetrable One 🏳️‍⚧️",did:plc:7f64qdulrszhatrte3vypkzy,anapaula vira crossover catch predator acho lindo
at://did:plc:ub2wibwp3wsnja32pdnzylcl/app.bsky.feed.post/3mcn55qnzhc2l,bafyreibgoosahnzp4eimr5txxjgi4bmiipyvgisnmrxlczhq2x3ennlosm,"monas eu to em choque pq a anapaula simplesmente tá sendo a dona desse bbb até agora, todo movimento lá dentro tá envolvido a ela…..mamãezinha",2026-01-17 17:27:58.106000+00:00,1,0,12,2026-01-17T17:27:58.333Z,rircardinho.bsky.social,Ricardinho,did:plc:ub2wibwp3wsnja32pdnzylcl,monas choque anapaula simplesmente sendo dona desse movimento dentro envolvido mamãezinha
at://did:plc:rdkm7tyahhszzlrekmrlpgv5/app.bsky.feed.post/3mclbbgqpu22w,bafyreideplh53cjypml746xheyv44mskz4t7nwz47sn6pvj6xa3srzxy44,"lá vai o traídor trambiqueiro querer imputar coidas na anapaula enquanto ela se arruma, q cara insuportável. #bbb26 #bbb",2026-01-16 23:36:17.416000+00:00,0,0,11,2026-01-16T23:36:17.636Z,siaht.bsky.social,Labubu da Shopee,did:plc:rdkm7tyahhszzlrekmrlpgv5,traídor trambiqueiro querer imputar coidas anapaula enquanto arruma cara insuportável
at://did:plc:ki67vl6wicuiwhdfe4fvo7ay/app.bsky.feed.post/3mcpjrxnfn22y,bafyreighe4fuij6szylef4ew5gouzpb6p3p6725ajnsbmwove7p4ynp7rq,passa bbb e vem bbb e o povo não aprende... tão jogando o enredo todinho no colo de quem passam p dia falando... nesse caso tão dando tudo p anapaula hahahaha,2026-01-18 16:19:20.889000+00:00,0,0,14,2026-01-18T16:16:35.232Z,lilianbrito81.bsky.social,Lilian🇪🇪🏹,did:plc:ki67vl6wicuiwhdfe4fvo7ay,passa povo aprende tão jogando enredo todinho colo passam p falando caso tão dando tudo p anapaula hahahaha
at://did:plc:rdkm7tyahhszzlrekmrlpgv5/app.bsky.feed.post/3mcibr33iok2h,bafyreiaoysjl2rhrxbscv2bpqu7qyeqtz4vnjjsf3fesmdv2brirrajt3y,"pedro: “me desculpa”
anapaula: “não desculpo não”
pedro: “ que deus abençoe”
anapaula : “ não enfia deus no meio”
#bbb26 #bbb",2026-01-15 19:07:02.842000+00:00,0,3,15,2026-01-15T19:07:05.937Z,siaht.bsky.social,Labubu da Shopee,did:plc:rdkm7tyahhszzlrekmrlpgv5,pedro desculpa anapaula desculpo pedro deus abençoe anapaula enfia deus meio
at://did:plc:ombefbv46lutxbuvu4mz34ja/app.bsky.feed.post/3mcqxdqcbu424,bafyreif5qahbtpy2xzkcvx5rgtv6hsfkyczlgtmkpjp664vwf5527tb2yu,"aline falando porque a anapaula ataca tanto ela?  
kkkkk
#bbb26 #bbb #redebbb ",2026-01-19 05:54:35+00:00,0,1,3,2026-01-19T05:54:35.932Z,fifisdotelefone.bsky.social,Fifis do Telefone | #AFazenda17,did:plc:ombefbv46lutxbuvu4mz34ja,aline falando porque anapaula ataca tanto
at://did:plc:wx7vbeyhzjh3q546ajdxjolw/app.bsky.feed.post/3mcmu2uq3bs25,bafyreidhkbxikurfyda6mnrbxlnestry3slzz5a4kfm2l6oia6imt6o5qm,"nikolas ferreira, anapaula renault e o confronto que o bbb não esperava. por nathalí",2026-01-17 14:45:18.027000+00:00,0,3,16,2026-01-17T14:45:23.131Z,dcmonline.bsky.social,Diário do Centro do Mundo,did:plc:wx7vbeyhzjh3q546ajdxjolw,nikolas ferreira anapaula renault confronto esperava nathalí
at://did:plc:6e7u34r4f6kp5irrslrj254f/app.bsky.feed.post/3mclkztmtks2q,bafyreif3wui25zj5i4m4hrt24wcav5yo3pc373sfo3uv6evpn2egwvyn64,se eu tivesse no bbb eu ia colar demais na anapaula. independente de jogo. eu sou fascinado por pessoas que farmam aura naturalmente como se não fosse nada.,2026-01-17 02:30:59.903000+00:00,0,1,15,2026-01-17T02:31:00.531Z,mathh.space,BadMΛƬΗ,did:plc:6e7u34r4f6kp5irrslrj254f,ia colar demais anapaula independente fascinado pessoas farmam aura naturalmente nada
at://did:plc:olt6nkuwdstbdmx2met4rjdl/app.bsky.feed.post/3mct3lgxu2k2r,bafyreifr3fekk5orbefvfsmjcu237nckzmpgwdaphm3e3a5o6fem6uhh4a,a anapaula serve demais puta merda #bbb,2026-01-20 02:15:48.651000+00:00,0,0,4,2026-01-20T02:15:49.830Z,sulemio.bsky.social,myari,did:plc:olt6nkuwdstbdmx2met4rjdl,anapaula serve demais puta merda
at://did:plc:it4hiz5pphsu2jnzdqlah3e2/app.bsky.feed.post/3mcnrq4czq22u,bafyreiclmpb46kmj2vtqers334ymmnu5einspz25oe3gxgnwwpmqplsmhe,"anapaula: ""esse paredão não mede nada! eu posso sair por causa de torcida sem ser de bbb, posso sair por causa de religião e política.""  

sarah: ""ele (pedro) puxou assunto em relação a isso? ele tá mexendo numa caixa de marimbondo que não tá entendendo.""",2026-01-17 23:36:09.137000+00:00,2,2,21,2026-01-17T23:36:11.936Z,centralbbb.bsky.social,Central BBB 26,did:plc:it4hiz5pphsu2jnzdqlah3e2,anapaula mede nada posso causa posso causa religião política sarah pedro puxou assunto relação mexendo caixa marimbondo entendendo
at://did:plc:3q5heqbjg4hy5zozom7ewrk2/app.bsky.feed.post/3mcqbk3hdo22y,bafyreibwkiwdok6mfgxpcaokblxys75bd6rropqvokqc7tv7cwzuwrgafe,passada que a anapaula descobriu mais um assediador em outro bbb! passada meu deus.,2026-01-18 23:24:26.248000+00:00,1,0,3,2026-01-18T23:24:28.229Z,firminomayara.bsky.social,may,did:plc:3q5heqbjg4hy5zozom7ewrk2,passada anapaula descobriu assediador outro passada deus
at://did:plc:wxifol6tegoaxu6tgpad252q/app.bsky.feed.post/3mcfu75qyas2o,bafyreicro2ssq4w25xlv5dtwqvrxyju5dcj4cfn7cnmv7dtrmghzr3iiw4,anapaula dando fora no jonas #bbb,2026-01-14 19:59:03.544000+00:00,0,3,17,2026-01-14T19:59:05.442Z,elisapolonio.bsky.social,Eli P.,did:plc:wxifol6tegoaxu6tgpad252q,anapaula dando jonas
at://did:plc:ombefbv46lutxbuvu4mz34ja/app.bsky.feed.post/3mcubrwy7qu2q,bafyreiautgpbu524sbudcw7u5x5m6g7k2qvou75ssc2i4brs4eyxzyxpxe,"a aline é obcecada pela anapaula. 
#bbb26 #bbb #redebbb ",2026-01-20 13:39:28+00:00,1,1,4,2026-01-20T13:39:29.132Z,fifisdotelefone.bsky.social,Fifis do Telefone | #AFazenda17,did:plc:ombefbv46lutxbuvu4mz34ja,aline obcecada anapaula
at://did:plc:zs2yk4eq2mnb5slvzctcpb67/app.bsky.feed.post/3mct3li4xkk2i,bafyreia3vi4gtwmafwgjbap6bodu5ioelehey6ejunx3do5tnczxl6o4zu,hahahahahahahahahahahahahahhaahaha ela sentiu demais a crítica da anapaula hahahahahahahahahahahahaaha pessoa quer ser pacífica no fuckin bbb hahahaha sai fora,2026-01-20 02:15:49.867000+00:00,0,0,3,2026-01-20T02:15:50.229Z,mariliamoscou.bsky.social,Imperatriz Paulista da Não-Monogamia,did:plc:zs2yk4eq2mnb5slvzctcpb67,hahahahahahahahahahahahahahhaahaha sentiu demais crítica anapaula hahahahahahahahahahahahaaha pacífica fuckin hahahaha sai
at://did:plc:fic2vnsvkcb3fqae6cjqulax/app.bsky.feed.post/3mcrvqxyfyc2j,bafyreif3vicwtqenlhe6lcyd2pvnfflf4aufsx5yeieefprisyj6rydj6u,chaiany chegou pra ganhar o bbb. carismática demais. se colar com anapaula vai ter tapete vermelho até a final,2026-01-19 14:58:52.078000+00:00,1,0,11,2026-01-19T14:58:53.727Z,cezarfig.bsky.social,Obrigado a conversar com gente que medita,did:plc:fic2vnsvkcb3fqae6cjqulax,chaiany chegou carismática demais colar anapaula tapete vermelho final
at://did:plc:rovs7k35giv42zqnwan5gup7/app.bsky.feed.post/3mcfu3rwtxc2a,bafyreif24ril3wm4r7t6y74vagadgmtbcksv4bc5nmj2itz2o76ahsrut4,"anapaula renault defende as cotas raciais depois da solange couto atacar as cotas!!! né brinquedo não!!!

#alereality #bbb26 #bbb",2026-01-14 19:57:10.490000+00:00,4,6,39,2026-01-14T19:57:12.333Z,alexandrefelipe.bsky.social,☆ Alê Reality ☆,did:plc:rovs7k35giv42zqnwan5gup7,anapaula renault defende cotas raciais solange couto atacar cotas brinquedo alereality
at://did:plc:ombefbv46lutxbuvu4mz34ja/app.bsky.feed.post/3mcscqio2aa2f,bafyreigg37rrrf6fiaxkrzkc77ah6painbwsghut4numre7rgvg6pic4ii,"gente! sarah tá querendo dizer que ontem o pedro saiu por assédio e que aline vai levantar o que anapaula falou sobre ela na época.  parece que a sarah tá querendo comparar as coisas. foi isso mesmo que eu entendi??? 
#bbb26 #bbb #redebbb ",2026-01-19 18:51:14+00:00,1,0,7,2026-01-19T18:51:15.332Z,fifisdotelefone.bsky.social,Fifis do Telefone | #AFazenda17,did:plc:ombefbv46lutxbuvu4mz34ja,sarah querendo pedro assédio aline levantar anapaula época parece sarah querendo comparar coisas entendi
at://did:plc:5hrksfwkmpcbp65vdhr7lbmy/app.bsky.feed.post/3mcijhd5hcc2h,bafyreihbol2rl52o7ahq5oiwhuikxavwae5t2tofdvyuzjdyjohcaj6efm,"sempre gostei da anapaula renault, torci mt pela diva no 16. sem contar que ela defendeu muito a nossa isabelle nogueira. que ela vença o bbb 26!🥂
*ana e isa são sagitarianas🫶🏻",2026-01-15 21:24:45.683000+00:00,0,0,17,2026-01-15T21:24:47.635Z,lartdesigner.bsky.social,Lily🏹,did:plc:5hrksfwkmpcbp65vdhr7lbmy,gostei anapaula renault torci diva contar defendeu isabelle nogueira vença 26 ana isa
at://did:plc:77m7szcps5ahfhlj275enasd/app.bsky.feed.post/3mcsg7s6j3s2d,bafyreihjkouv7ag3vk4kdmj7iiesx73k2hhlspnjy5iqfbrlj6q6softry,eu tô ansiosa pra que a sarah converse com a aline e instrua ela a fazer o que ela sugeriu no quarto do líder. imagina que bonito que vai ser no ao vivo a aline usando um crime que aconteceu dentro do bbb pra linkar isso com a anapaula pra passar vergonha ao vivo em rede nacional #bbb26,2026-01-19 19:53:29.171000+00:00,0,0,9,2026-01-19T19:53:31.543Z,mulherbeliche.bsky.social,Vivian,did:plc:77m7szcps5ahfhlj275enasd,ansiosa sarah converse aline instrua sugeriu quarto líder imagina bonito vivo aline usando crime aconteceu dentro linkar anapaula passar vergonha vivo rede nacional
at://did:plc:r7ul7zs3an3h6yjuupdmzcsb/app.bsky.feed.post/3mct3erjqlc2i,bafyreibyqz3azf3nomzsinzgiuqhldee3ijp5n45pg6wy5gkhaxhd4r37q,anapaula e aline vai ser a maior enemies to lovers da história do #bbb repare bem,2026-01-20 02:12:04.841000+00:00,0,0,3,2026-01-20T02:12:06.559Z,ohobitinho.bsky.social,escrivitinho | 📘 QQA NA AMAZON,did:plc:r7ul7zs3an3h6yjuupdmzcsb,anapaula aline maior enemies lovers história repare bem
at://did:plc:bw2akxadcm626jw4maxlwjnj/app.bsky.feed.post/3mcg3ysuroc2v,bafyreidarkqglicood3z4psdbjzsmz26dwn5dsncoem47cw2y2smspblpe,"uma ex bbb? anapaula renault
uma atual bbb? anapaula renault
uma ex fazenda? anapaula renault
um carro? renault
uma expressão popular? olha ela
um nome? anapaula
um sobre nome? renault",2026-01-14 22:18:40.742000+00:00,0,1,18,2026-01-14T22:18:41.232Z,ptrckpva.bsky.social,fiona apple fazendo obra no canil dos cachorros,did:plc:bw2akxadcm626jw4maxlwjnj,ex anapaula renault atual anapaula renault ex fazenda anapaula renault carro renault expressão popular nome anapaula nome renault
at://did:plc:2qvx4i33mg2cx7aihzwc7vg6/app.bsky.feed.post/3mcmoc6u7bk2e,bafyreiehxuztnxyvggmjbo4g2o62hoeyx7r5s6agofarybb3jt3qmqs7fy,"a desonestidade dessa gente crente pilantra é fora do normal. a gente não consegue imaginar, alcançar, até que ponto mais baixo essa gente desgraçada vai. 
fiquei tão chocada ontem com o que o cara fez com a anapaula no bbb que eu gravei o que foi exibido.",2026-01-17 13:02:01.079000+00:00,1,0,14,2026-01-17T13:02:05.636Z,beatrizdiniz.bsky.social,Beatriz GUARANI KAIOWÁ,did:plc:2qvx4i33mg2cx7aihzwc7vg6,desonestidade dessa crente pilantra normal consegue imaginar alcançar ponto baixo desgraçada fiquei tão chocada cara fez anapaula gravei exibido
at://did:plc:m6enlluw7ta5lo3hnyfbxz2q/app.bsky.feed.post/3mcn4r5ra4k2r,bafyreibib6rtoogp77dyppnqteflu7poo3efotas24axz7usol7vsq5w6m,anapaula com pedro tá mostrando ao mundo que campanha anti bullying foi um erro da sociedade #bbb,2026-01-17 17:20:55.634000+00:00,0,0,3,2026-01-17T17:20:55.633Z,gengiskhona.bsky.social,The best of eurodance 97,did:plc:m6enlluw7ta5lo3hnyfbxz2q,anapaula pedro mostrando campanha anti bullying erro sociedade
at://did:plc:2qvx4i33mg2cx7aihzwc7vg6/app.bsky.feed.post/3mcmo5wijlc2e,bafyreidjyriwa4dyxqgne67lxqz46dr4jfsc4w7yxyl2tn3muv2s7tftim,"ontem teve um episódio de assédio no bbb. assédio religioso. e daquele jeito bem desonesto: o cara pediu pra ela não fazer mais algo que causou nele um engasgo na garganta. não disse o que ela fez e negou o que disse. 
a moça anapaula foi gigante. 
quero falar disso mais tarde.",2026-01-17 12:59:38.090000+00:00,2,0,25,2026-01-17T12:59:39.031Z,beatrizdiniz.bsky.social,Beatriz GUARANI KAIOWÁ,did:plc:2qvx4i33mg2cx7aihzwc7vg6,episódio assédio assédio religioso daquele jeito bem desonesto cara pediu algo causou nele engasgo garganta fez negou moça anapaula gigante quero tarde
at://did:plc:dcrw7yttnd3svdk5q7a34cuy/app.bsky.feed.post/3mcldjxzed22i,bafyreihrevxal5thdb3t3zjbblkjmu5vkyrxfwq4cp4lgn6kyana4xknmq,"tá o july floss e umas doze pessoas no quarto tentando roubar a pauta da anapaula, a maior aproveitadora de pauta do bbb",2026-01-17 00:16:51.433000+00:00,1,0,8,2026-01-17T00:16:52.230Z,feliep.bsky.social,véia do filme do didi gritando padre manoel morreeeu,did:plc:dcrw7yttnd3svdk5q7a34cuy,july floss umas doze pessoas quarto tentando roubar pauta anapaula maior aproveitadora pauta
